input,output,hint,weight,color
ang î,ang-î,,713,
ang î,尫姨,,822,
ap,ap,,0,
ap pek,ap-pek,,700,
ap pek,壓迫,,809,
at,at,,700,
at,折,,615,
at,曷,,95,
at,軋,,79,
at chhiú,ak-chhiú,,700,
au,au,,713,
au,甌,,863,
au,𥕥,,864,
au bí,Au Bí,,700,
au bí,歐米,,809,
au bí,歐美,,808,
au chiu,Au-chiu,,713,
au chiu,歐州,,822,
au chiu,歐洲,,821,
au âng,Au-âng,,700,
au âng,漚汪,,805,
auh,auh,,0,
auhⁿ,auhⁿ,,0,
auⁿ,auⁿ,,0,
a̍h,a̍h,,0,
a̍h,iā,,700,
a̍h,也,,865,
a̍h sái,ā-sái,,700,
a̍h sái,也使,,605,
a̍h sī,iā sī,,727,
a̍h sī,也是,,636,
a̍h tio̍h,ā-tio̍h,,700,
a̍h tio̍h,也着,,601,
a̍h ū,ā-ū,,700,
a̍h ū,也有,,601,
a̍hⁿ,a̍hⁿ,,0,
a̍ih,a̍ih,,0,
a̍ihⁿ,a̍ihⁿ,,0,
a̍k,a̍k,,0,
a̍p,a̍p,,0,
a̍p,盍,,80,
a̍t,a̍t,,0,
a̍uh,a̍uh,,0,
a̍uhⁿ,a̍uhⁿ,,0,
aⁿ,aⁿ,,0,
ba,ba,,0,
ba suh,ba-suh,起毛志体,700,
ba suh,bah-suh,起毛志体,700,
ba suh,峇士,,809,
bah,bah,,729,
bah,肉,,904,
bah chhài,bah-chhài,,700,
bah chhài,肉菜,,609,
bah chàng,bah-chàng,,727,
bah chàng,肉粽,,836,
bah hú,bah-hú,,713,
bah hú,肉脯,,822,
bah kián,bah-kián,,709,
bah kián,肉見,,618,
bah kián,肉蹇,,618,
bah kián á,bah-kián-á,,713,
bah kián á,肉見仔,,622,
bah kián á,肉蹇仔,,622,
bah koaⁿ,bah-koaⁿ,,700,
bah koaⁿ,肉干,,809,
bah kut,bah-kut,,700,
bah kut,肉骨,,809,
bah kut tê,bah-kut tê,,700,
bah kut tê,肉骨茶,,809,
bah oân,bah-oân,,713,
bah oân,肉丸,,622,
bah pó͘,bah-pó͘,,713,
bah pó͘,肉脯,,822,
bah pó͘,肉補,,821,
