input,output,hint,weight,color
chhâ soe,chhâ-soe,,700,
chhâ soe,柴梳,,809,
chhâ á,chhâ-á,,713,
chhâ á,柴仔,,822,
chhâi,chhâi,,0,
chhâi,材,,302,
chhâi liāu,chhâi-liāu,,700,
chhâi liāu,材料,,809,
chhâiⁿ,chhâiⁿ,,0,
chhâm,chhâm,,0,
chhâm,巉,,76,
chhâm,蚕,,86,
chhâm,蠶,,495,
chhân,Chhân,,700,
chhân,chhân,,727,
chhân,田,,912,
chhân chng,chhân-chng,,713,
chhân chng,田庄,,822,
chhân chúi,chhân-chúi,,700,
chhân chúi,田水,,809,
chhân iá,chhân-iá,,700,
chhân iá,田野,,809,
chhân iûⁿ,chhân-iûⁿ,,700,
chhân iûⁿ,田洋,,809,
chhân lê,chhân-lê,,713,
chhân lê,田螺,,822,
chhân tiong ng,Chhân-tiong-ng,,713,
chhân tiong ng,田中央,,822,
chhân tiŏng,Chhân-tiong-ng,,700,
chhâng,chhâng,,0,
chhâu,chhâu,,700,
chhâu,撨,,619,
chhâu,超,,618,
chhâuⁿ,chhâuⁿ,,0,
chhâⁿ,chhâⁿ,,0,
chhæ,chhæ,,0,
chhæh,chhæh,,0,
chhæh,册,,290,
chhæ̀,chhæ̀,,0,
chhæ̂,chhæ̂,,0,
chhæ̆,chhæ̆,,0,
chhæ̍h,chhæ̍h,,0,
chhè,chhè,,713,
chhè,乂,,625,
chhè,叉,,626,
chhè,脆,,627,
chhèng,chhèng,,727,
chhèng,倩,,90,
chhèng,秤,,100,
chhèng,稱,,504,
chhèng,銃,,902,
chhèng chí,chhèng-chí,,713,
chhèng chí,銃只,,822,
chhèng chí,銃子,,822,
chhèⁿ,chhèⁿ,,0,
chhé,chhé,,0,
chhé,髓,,75,
chhéng,chhéng,,700,
chhéng,請,,805,
chhéng,𣮛,,625,
chhéng an,chhéng-an,,713,
chhéng an,請安,,822,
chhéng kàu,chhéng-kàu,,727,
chhéng kàu,請敎,,835,
chhéng kàu,請教,,836,
chhéng ká,chhéng-ká,,713,
chhéng ká,請假,,622,
chhéⁿ,chhéⁿ,,0,
chhéⁿ,醒,,82,
chhê,chhê,,0,
chhê,查,,290,
chhê,楂,,86,
chhê á,chhê-á,,700,
chhê á,箠仔,,809,
chhêng,chhêng,,713,
chhêng,松,,848,
chhêng chhiū,chhêng-chhiū,,713,
chhêng chhiū,松樹,,818,
chhêng peh,chhêng-peh,,713,
chhêng peh,松柏,,822,
chhêng á,chhêng-á,,727,
chhêng á,松仔,,836,
chhêⁿ,chhêⁿ,,0,
chhì,chhì,,713,
chhì,処,,85,
chhì,刺,,858,
chhì,娶,,104,
chhì,莿,,92,
chhì,處,,489,
chhì,試,,878,
chhì chhēng,chhì chhēng,,700,
chhì chhēng,試穿,,809,
chhì chia̍h,chhì chia̍h,,700,
chhì chia̍h,試食,,809,
chhì giām,chhì-giām,,713,
chhì giām,試驗,,822,
chhì kek,chhì-kek,,709,
chhì kek,刺㦸,,818,
chhì kek,刺革,,818,
chhì khek,chhì-khek,,713,
chhì khek,刺㦸,,822,
chhì khek,刺克,,822,
chhì koe,chhì-koe,,700,
chhì koe,刺瓜,,609,
chhì koe á,chhì-koe-á,,713,
chhì koe á,刺瓜仔,,822,
chhìm,chhìm,,0,
chhìn,chhìn,,727,
chhìn,凊,,612,
chhìn,秤,,892,
chhìn chhái,chhìn-chhái,,737,
chhìn chhái,秤彩,,646,
chhìn chhìn chhái chhái,chhìn-chhìn chhái-chhái,,713,
chhìn chhìn chhái chhái,秤秤彩彩,,622,
chhìn pn̄g,chhìn-pn̄g,,713,
chhìn pn̄g,凊飯,,621,
chhìn pn̄g,秤飯,,622,
chhìn á,chhìn-á,,713,
chhìn á,秤仔,,822,
chhìⁿ,chhìⁿ,,0,
chhí,chhí,,0,
chhí,処,,92,
chhí,取,,495,
chhí,處,,498,
chhí,齒,,487,
chhím,chhím,,700,
chhím,寢,,650,
chhím thâu,chhím-thâu,,700,
chhím thâu,寢頭,,609,
chhím thâu á,chhím-thâu-á,,713,
chhím thâu á,寢頭仔,,622,
chhín,chhín,,0,
chhíⁿ,chhíⁿ,,0,
chhíⁿ,淺,,290,
chhî,Chhî,,713,
chhî,chhî,,0,
chhî,徐,,838,
chhîm,chhîm,,0,
chhîn,chhîn,,0,
chhîⁿ,chhîⁿ,,0,
chhò,chhò,,713,
chhò,剉,,848,
chhò,噪,,72,
chhò,造,,495,
chhò gō͘,chhò-gō͘,,713,
chhò gō͘,錯誤,,822,
chhò loān,chhò-loān,,700,
chhò loān,錯乱,,809,
chhò loān,錯亂,,809,
chhòa,chhòa,,0,
chhòa,蔡,3+4,987,
chhòaⁿ,chhòaⁿ,,713,
chhòaⁿ,閂,,868,
chhòe,chhòe,,0,
chhòeⁿ,chhòeⁿ,,0,
chhòm,chhòm,,0,
chhòng,chhòng,,731,
chhòng,創,,896,
chhòng chō,chhòng-chō,,713,
chhòng chō,創造,,822,
chhòng khang,chhòng khang,,709,
chhòng khang,chhòng-khang,,713,
chhòng khang,創空,,822,
chhòng sahⁿ,chhòng sáⁿ,,700,
chhòng sahⁿ,創省,,809,
chhòng siahⁿ,chhòng siáⁿ,,700,
chhòng siahⁿ,創省,,809,
chhòng siat,chhòng-siat,,700,
chhòng siat,創設,,809,
chhòng siáⁿ,chhòng siáⁿ,,727,
chhòng siáⁿ,創省,,836,
chhòng sáⁿ,chhòng siáⁿ,,713,
chhòng sáⁿ,chhòng sáⁿ,,713,
chhòng sáⁿ,創省,,822,
chhòng tī,chhòng-tī,,713,
chhòng tī,創治,,822,
chhò̤,chhò̤,,0,
chhò̤e,chhò̤e,,0,
chhò͘,chhò͘,,713,
chhò͘,措,,71,
chhò͘,醋,,858,
chhò͘ tháng,chhò͘-tháng,,700,
chhò͘ tháng,醋桶,,809,
chhò͘ⁿ,chhò͘ⁿ,,0,
chhó,chhó,,0,
chhó,楚,,297,
chhó,艸,,98,
chhó,草,,507,
chhó kan ná,chhó-kaⁿ-ná,,700,
chhó kan ná,草橄欖,,809,
chhó kaⁿ ná,chhó-kaⁿ-ná,,700,
chhó kaⁿ ná,草橄欖,,809,
chhó kó,chhó-kó,,700,
chhó kó,草稿,,809,
chhóa,chhóa,,0,
chhóaⁿ,chhóaⁿ,,0,
chhóe,chhóe,,0,
chhóe,髓,,75,
chhóeⁿ,chhóeⁿ,,0,
chhóm,chhóm,,0,
chhóng,chhóng,,0,
chhóng pōng,chhóng-pōng,,700,
chhóng pōng,倉磅,,601,
chhó̤,chhó̤,,0,
chhó̤,髓,,75,
chhó̤e,chhó̤e,,0,
chhó͘,chhó͘,,0,
chhó͘,楚,,497,
chhó͘,礎,,476,
chhó͘,艸,,98,
chhó͘,草,,507,
chhó͘ⁿ,chhó͘ⁿ,,0,
chhô,chhô,,0,
chhôa,chhôa,,0,
chhôaⁿ,chhôaⁿ,,0,
chhôe,chhôe,,0,
chhôe á,chhôe-á,,700,
chhôe á,箠仔,,809,
chhôeⁿ,chhôeⁿ,,0,
chhôm,chhôm,,0,
chhông,chhông,,0,
chhô̤,chhô̤,,0,
chhô̤e,chhô̤e,,0,
chhô͘,chhô͘,,0,
chhô͘ⁿ,chhô͘ⁿ,,0,
chhù,chhù,,740,
chhù,処,,85,
chhù,厝,,930,
chhù,娶,,104,
chhù,次,,489,
chhù,處,,489,
chhù bī,chhù-bī,,731,
chhù bī,趣味,,840,
chhù chú,chhù-chú,,713,
chhù chú,厝主,,822,
chhù goân,chhù-goân,,700,
chhù goân,次元,,805,
chhù iàu,chhù-iàu,,700,
chhù iàu,次要,,809,
chhù keng,chhù-keng,,713,
chhù keng,厝間,,822,
chhù lāi,chhù-lāi,,731,
chhù lāi,厝內,,840,
chhù piⁿ,chhù-piⁿ,,731,
chhù piⁿ,厝邊,,840,
chhù sè,chhù-sè,,713,
chhù sè,厝稅,,822,
chhù sòe,chhù-sòe,,727,
chhù sòe,厝稅,,836,
chhù sī,chhù-sī,,700,
chhù sī,次序,,809,
chhù sū,chhù-sū,,700,
chhù sū,次序,,809,
chhùi,chhùi,,736,
chhùi,口,,912,
chhùi,嘴,,913,
chhùi,碎,,845,
chhùi,粹,,66,
chhùi am,chhùi-am,,713,
chhùi am,口奄,,621,
chhùi am,嘴奄,,622,
chhùi chhiu,chhùi-chhiu,,713,
chhùi chhiu,口鬚,,821,
chhùi chhiu,嘴鬚,,822,
chhùi chi̍h,chhùi-chi̍h,,713,
chhùi chi̍h,口舌,,821,
chhùi chi̍h,嘴舌,,822,
chhùi kak choan pho,chhùi-kak choan pho,,713,
chhùi kak choan pho,嘴角專波,,814,
chhùi khí,chhùi-khí,,727,
chhùi khí,口齒,,835,
chhùi khí,嘴齒,,836,
chhùi kô͘ kô͘,chhùi kô͘-kô͘,,713,
chhùi kô͘ kô͘,碎糊糊,,822,
chhùi nōa,chhùi-nōa,,727,
chhùi nōa,口瀾,,835,
chhùi nōa,嘴瀾,,836,
chhùi om,chhùi-om,,709,
chhùi om,口奄,,617,
chhùi om,嘴奄,,618,
chhùi phé,chhùi-phé,,709,
chhùi phé,口肶,,817,
chhùi phé,嘴肶,,818,
chhùi phóe,chhùi-phóe,,713,
chhùi phóe,口肶,,821,
chhùi phóe,嘴肶,,822,
chhùi ta,chhùi-ta,,727,
chhùi ta,口乾,,833,
chhùi ta,口焦,,831,
chhùi ta,口礁,,832,
chhùi ta,嘴乾,,836,
chhùi ta,嘴焦,,834,
chhùi ta,嘴礁,,835,
chhùi tûn,chhùi-tûn,,713,
chhùi tûn,口唇,,821,
chhùi tûn,嘴唇,,822,
chhùiⁿ,chhùiⁿ,,0,
chhùiⁿ,串,,107,
chhùn,chhùn,,0,
chhùn,寸,,492,
chhṳ̀,処,,85,
chhṳ̀,次,,489,
chhṳ̀,處,,489,
chhú,chhú,,0,
chhú,処,,92,
chhú,取,,495,
chhú,娶,,104,
chhú,此,,496,
chhú,處,,498,
chhú lí,chhú-lí,,713,
chhú lí,處理,,822,
chhú siau,chhú-siau,,727,
chhú siau,取消,,836,
chhúi,chhúi,,0,
chhúi,髓,,75,
chhúiⁿ,chhúiⁿ,,0,
chhún,chhún,,0,
chhún,喘,,68,
chhṳ́,処,,92,
chhṳ́,此,,496,
chhṳ́,處,,498,
chhṳ́iⁿ,𣮛,,67,
chhû,chhû,,0,
chhûi,chhûi,,0,
chhûiⁿ,chhûiⁿ,,0,
chhûn,chhûn,,713,
chhûn,存,,629,
chhûn,春,1+5,1002,
chhûn,𢙨,,628,
chhûn pān,chhûn pān,,713,
chhûn pān,存辦,,622,
chhûn pān,𢙨辦,,613,
chhûn sim,chhûn sim,,713,
chhûn sim,存心,,822,
chhûn sim,𢙨心,,821,
chhûn sí,chhûn sí,,713,
chhûn sí,存死,,613,
chhûn sí,𢙨死,,613,
chhûn sí ê,chhûn sí ·ê,,713,
chhûn sí ê,存死个,,822,
chhûn sí ê,存死兮,,821,
chhûn sí ê,𢙨死个,,821,
chhûn sí ê,𢙨死兮,,820,
chhā,chhā,,0,
chhāi,chhāi,,713,
chhāi,裁,,631,
chhāi,采,,632,
chhāiⁿ,chhāiⁿ,,0,
chhām,chham,,709,
chhām,chhām,,0,
chhām,參,,679,
chhān,chhān,,0,
chhāng,chhāng,,0,
chhāu,chhāu,,0,
chhāuⁿ,chhāuⁿ,,0,
chhāⁿ,chhāⁿ,,0,
chhă,chhă,,0,
chhăi,chhăi,,0,
chhăiⁿ,chhăiⁿ,,0,
chhăm,chhăm,,0,
chhăn,chhăn,,0,
chhăng,chhăng,,0,
chhău,chhău,,0,
chhăuⁿ,chhăuⁿ,,0,
chhăⁿ,chhăⁿ,,0,
chhē,chhē,,734,
chhē,尋,,919,
chhē bô,chhē bô,,723,
chhē bô,尋無,,832,
chhē tio̍h,chhē tio̍h,,709,
chhē tio̍h,尋着,,818,
chhēng,chhēng,,737,
chhēng,穿,,902,
chhēng chhah,chhēng-chhah,,713,
chhēng chhah,穿揷,,822,
chhēng saⁿ,chhēng saⁿ,,727,
chhēng saⁿ,穿衫,,836,
chhēⁿ,chhēⁿ,,0,
chhĕ,chhĕ,,0,
chhĕng,chhĕng,,0,
chhĕⁿ,chhĕⁿ,,0,
chhĩ,市,,489,
chhī,chhī,,733,
chhī,市,,855,
chhī,市,7+8,989,
chhī,食,,96,
chhī,飼,,878,
chhī bó͘ kiáⁿ,chhī bó͘-kiáⁿ,,713,
chhī bó͘ kiáⁿ,飼某子,,822,
chhī kiáⁿ,chhī kiáⁿ,,713,
chhī kiáⁿ,飼子,,822,
chhī lāi,chhī-lāi,,713,
chhī lāi,市內,,822,
chhī tiúⁿ,chhī-tiúⁿ,,713,
chhī tiúⁿ,市長,,818,
chhī tiûⁿ,chhī-tiûⁿ,,727,
chhī tiûⁿ,市場,,836,
chhī tiān,chhī tiān,,700,
chhī tiān,飼電,,805,
chhī á,chhī-á,,713,
chhī á,市仔,,848,
chhīm,chhīm,,0,
chhīn,chhīn,,0,
chhīⁿ,chhīⁿ,,0,
chhĭ,chhĭ,,0,
chhĭm,chhĭm,,0,
chhĭn,chhĭn,,0,
chhĭⁿ,chhĭⁿ,,0,
chhńg,chhńg,,0,
chhō,chhō,,0,
chhōa,chhōa,,738,
chhōa,𤆬,,918,
chhōa bó͘,chhōa bó͘,,713,
chhōa bó͘,𤆬某,,822,
chhōa lō͘,chhōa lō͘,,713,
chhōa lō͘,𤆬路,,822,
chhōa thâu,chhōa thâu,,713,
chhōa thâu,𤆬頭,,822,
chhōaⁿ,chhōaⁿ,,0,
chhōe,chhōe,,738,
chhōe,尋,,923,
chhōe bô,chhōe bô,,727,
chhōe bô,尋無,,836,
chhōe tio̍h,chhōe tio̍h,,713,
chhōe tio̍h,尋着,,822,
chhōeⁿ,chhōeⁿ,,0,
chhōm,chhōm,,0,
chhōng,chhōng,,0,
chhō̤,chhō̤,,0,
chhō̤,尋,,307,
chhō̤e,chhō̤e,,0,
chhō͘,chhō͘,,0,
chhō͘ⁿ,chhō͘ⁿ,,0,
chhŏ,chhŏ,,0,
chhŏa,chhŏa,,0,
chhŏaⁿ,chhŏaⁿ,,0,
chhŏe,chhŏe,,0,
chhŏeⁿ,chhŏeⁿ,,0,
chhŏm,chhŏm,,0,
chhŏng,chhŏng,,0,
chhŏ̤,chhŏ̤,,0,
chhŏ̤e,chhŏ̤e,,0,
chhŏ͘,chhŏ͘,,0,
chhŏ͘ⁿ,chhŏ͘ⁿ,,0,
chhū,chhū,,0,
chhū,娶,,104,
chhūi,chhūi,,0,
chhūiⁿ,chhūiⁿ,,0,
chhūn,chhūn,,0,
chhūn pān,chhûn-pān,,700,
chhūn pān,存辦,,609,
chhūn pān,𢙨辦,,600,
chhūn sí,chhûn sí,,700,
chhūn sí,存死,,600,
chhūn sí,𢙨死,,600,
chhŭ,chhŭ,,0,
chhŭi,chhŭi,,0,
chhŭiⁿ,chhŭiⁿ,,0,
chhŭn,chhŭn,,0,
chhǣ,chhǣ,,0,
chhǹg,chhǹg,,0,
chhǹg,串,,107,
chhǽ,chhǽ,,0,
chhṳ̀,chhṳ̀,,0,
chhṳ̀iⁿ,chhṳ̀iⁿ,,0,
chhṳ̀n,chhṳ̀n,,0,
chhṳ́,chhṳ́,,0,
chhṳ́iⁿ,chhṳ́iⁿ,,0,
chhṳ́n,chhṳ́n,,0,
chhṳ̂,chhṳ̂,,0,
chhṳ̂iⁿ,chhṳ̂iⁿ,,0,
chhṳ̂n,chhṳ̂n,,0,
chhṳ̄,chhṳ̄,,0,
chhṳ̄iⁿ,chhṳ̄iⁿ,,0,
chhṳ̄n,chhṳ̄n,,0,
chhṳ̆,chhṳ̆,,0,
chhṳ̆iⁿ,chhṳ̆iⁿ,,0,
chhṳ̆n,chhṳ̆n,,0,
chhṳ̍h,chhṳ̍h,,0,
chhṳ̍ihⁿ,chhṳ̍ihⁿ,,0,
chhṳ̍t,chhṳ̍t,,0,
chi,chi,,0,
chi,之,,835,
chi,支,,504,
chi,枝,,503,
chi,梔,,68,
chi,諸,,488,
chi bai,chi-bai,,713,
chi chhut,chi-chhut,,700,
chi chhut,支出,,809,
chi chhî,chi-chhî,,727,
chi chhî,支持,,836,
chi ko la̍t,chi-ko-la̍t,,700,
chi ko la̍t,之亀力,,608,
chi ko la̍t,之龜力,,609,
chi ku la̍t,chi-ku-la̍t,,700,
chi ku la̍t,之亀力,,608,
chi ku la̍t,之龜力,,609,
chi ná,Chi-ná,,713,
chi ná,之那,,615,
chi ná,支那,,616,
chi oān,chi-oān,,700,
chi oān,支援,,809,
chi phiò,chi-phiò,,713,
chi phiò,支票,,822,
chia,chia,,740,
chia,嗟,,84,
chia,者,,730,
chia,者,12+49,989,
chia,遮,漢文音,496,
chia ê,chia ·ê,,727,
chia ê,chia ê,,729,
chia ê,者个,,638,
chia ê,者兮,,637,
chia ê,隻个,,636,
chia ê,隻兮,,635,
chiah,chiah,,750,
chiah,即,,749,
chiah,者,,702,
chiah,者,12+49,989,
chiah,跡,,290,
chiah,蹟,,81,
chiah,迹,,87,
chiah,隻,,701,
chiah koh,chiah koh,,713,
chiah koh,即閣,,622,
chiah līn,chiah-līn,,713,
chiah ni̍h,chiah-nī,,738,
chiah ni̍h,者哖,,647,
chiah ni̍h,者年,,647,
chiah ni̍h,隻哖,,646,
chiah ni̍h,隻年,,646,
chiah nī,chiah-nī,,738,
chiah nī,者哖,,647,
chiah nī,者年,,647,
chiah nī,隻哖,,646,
chiah nī,隻年,,646,
chiah sī,chiah sī,,700,
chiah sī,即是,,601,
chiah ê,chiah-ê,無注調,725,
chiah ê,者个,,634,
chiah ê,者兮,,633,
chiah ê,隻个,,632,
chiah ê,隻兮,,631,
chiah ē,chiah ē,,700,
chiah ē,即會,,601,
chiah ē,即能,,601,
chiahⁿ,chiahⁿ,,0,
chiak,chiak,,0,
chiam,chiam,,713,
chiam,占,,825,
chiam,尖,,858,
chiam,針,,858,
chiam á,chiam-á,,700,
chiam á,占仔,,809,
chian,chian,,700,
chian,煎,,845,
chian,箋,,91,
chiang,chiang,,0,
chiang,將,,493,
chiang,樟,,67,
chiang,漳,,75,
chiang,章,,486,
chiang chiu,Chiang-chiu,,700,
chiang chiu,漳州,,809,
chiang hòa,Chiang-hòa,,713,
chiang hòa,彰化,,822,
chiang kun,chiang-kun,,709,
chiang kun,將軍,,818,
chiang lâi,chiang-lâi,,709,
chiang lâi,將來,,818,
chiap,chiap,,730,
chiap,接,,885,
chiap,汁,,800,
chiap,睫,,75,
chiap,聶,,76,
chiap chhiok,chiap-chhiok,,713,
chiap chhiok,接觸,,822,
chiap kīn,chiap-kīn,,700,
chiap kīn,接近,,809,
chiap kūn,chiap-kūn,,700,
chiap kūn,接近,,809,
chiap sio̍k,chiap-sio̍k,,700,
chiap sio̍k,接觸,,809,
chiap siū,chiap-siū,,727,
chiap siū,接受,,836,
chiat,chiat,,700,
chiat,折,,499,
chiat,節,,835,
chiat bo̍k,chiat-bo̍k,,713,
chiat bo̍k,節目,,822,
chiat khì,chiat-khì,,700,
chiat khì,節氣,,800,
chiat khùi,chiat-khùi,,700,
chiat khùi,節氣,,800,
chiau,chiau,,0,
chiau,招,,484,
chiau,昭,,484,
chiau,椒,,84,
chiau,蕉,,68,
chiauh,chiauh,,0,
chiauhⁿ,chiauhⁿ,,0,
chiauⁿ,chiauⁿ,,0,
chia̍h,chia̍h,,750,
chia̍h,食,,930,
chia̍h chho,chia̍h chho,,700,
chia̍h chho,食操,,809,
chia̍h chho,食臊,,809,
chia̍h chhài,chia̍h chhài,,713,
chia̍h chhài,食菜,,822,
chia̍h chhò͘,chia̍h chhò͘,,713,
chia̍h chhò͘,食醋,,822,
chia̍h chhēng,chia̍h-chhēng,,713,
chia̍h chhēng,食穿,,822,
chia̍h chhī,chia̍h-chhī,,700,
chia̍h chhī,食市,,809,
chia̍h hun,chia̍h hun,,713,
chia̍h hun,食烟,,822,
chia̍h hun,食熏,,821,
chia̍h hun,食芬,,822,
chia̍h khó͘,chia̍h khó͘,,713,
chia̍h khó͘,食苦,,822,
chia̍h la̍t,chia̍h la̍t,,723,
chia̍h la̍t,chia̍h-la̍t,,727,
chia̍h la̍t,食力,,836,
chia̍h lāu,chia̍h lāu,,713,
chia̍h lāu,食老,,822,
chia̍h mi̍h,chia̍h mi̍h,動詞,713,
chia̍h mi̍h,chia̍h-mi̍h,名詞,700,
chia̍h mi̍h,食物,,822,
chia̍h mn̍gh,chia̍h mn̍gh,動詞,700,
chia̍h mn̍gh,chia̍h-mn̍gh,名詞,700,
chia̍h mn̍gh,食物,,809,
chia̍h pn̄g,chia̍h pn̄g,,729,
chia̍h pn̄g,食飯,,838,
chia̍h pn̄g pá,chia̍h pn̄g pá,,713,
chia̍h pn̄g pá,食飯飽,,822,
chia̍h pn̄g thiaⁿ,chia̍h pn̄g thiaⁿ,,700,
chia̍h pn̄g thiaⁿ,食飯厛,,809,
chia̍h pn̄g thiaⁿ,食飯廳,,809,
chia̍h pá,chia̍h pá,,727,
chia̍h pá,食飽,,836,
chia̍h si̍t,chia̍h-si̍t,,700,
chia̍h si̍t,食食,,809,
chia̍h sái,chia̍h sái,,713,
chia̍h sái,食屎,,822,
chia̍h to̍k,chia̍h to̍k,,713,
chia̍h to̍k,食毒,,822,
chia̍h tàu,chia̍h tàu,,713,
chia̍h tàu,食昼,,822,
chia̍h tàu,食晝,,821,
chia̍hⁿ,chia̍hⁿ,,0,
chia̍k,chia̍k,,0,
chia̍k,着,,508,
chia̍p,chia̍p,,727,
chia̍p,汁,,697,
chia̍t,chia̍t,,700,
chia̍t,捷,,810,
chia̍t,睫,,75,
chia̍t chia̍t,chia̍t-chia̍t,,700,
chia̍t chia̍t,捷捷,,809,
chia̍t chí,chia̍t-chí,,713,
chia̍t chí,截止,,813,
chia̍t ūn,chia̍t-ūn,,713,
chia̍t ūn,捷運,,822,
chia̍uh,chia̍uh,,0,
chia̍uhⁿ,chia̍uhⁿ,,0,
chiaⁿ,chiaⁿ,,700,
chiaⁿ,正,,96,
chiaⁿ,精,,835,
chiaⁿ bah,chiaⁿ-bah,,713,
chiaⁿ bah,精肉,,822,
chiaⁿ ge̍h,chiaⁿ ge̍h,,713,
chiaⁿ ge̍h,chiaⁿ ·ge̍h,,727,
chiaⁿ ge̍h,正月,,836,
chiaⁿ goe̍h,chiaⁿ goe̍h,,713,
chiaⁿ goe̍h,chiaⁿ ·goe̍h,,727,
chiaⁿ goe̍h,正月,,836,
chiaⁿ si̍t,chiaⁿ-si̍t,,737,
chiaⁿ si̍t,正實,,646,
chih,chih,,700,
chih,志,3+4,996,
chih,摺,,825,
chihⁿ,chihⁿ,,0,
chim,chim,,727,
chim,啿,,672,
chim,斟,,78,
chim,箴,,85,
chim,針,,494,
chim chiok,chim-chiok,,713,
chim chiok,斟酌,,822,
chin,chin,,749,
chin,升,,835,
chin,嗔,,90,
chin,眞,,939,
chin,真,,939,
chin chiàⁿ,chin-chiàⁿ,,737,
chin chiàⁿ,眞正,,846,
chin chiàⁿ,真正,,846,
chin chu,chin-chu,,713,
chin chu,眞珠,,822,
chin chu,真珠,,822,
chin chêng,chin-chêng,,713,
chin chêng,眞情,,816,
chin chêng,真情,,816,
chin chêng chin ài,chin-chêng chin-ài,,713,
chin chêng chin ài,眞情眞愛,,822,
chin chêng chin ài,真情真愛,,822,
chin chē,chin chē,,727,
chin chē,眞多,,836,
chin chē,真多,,836,
chin chōe,chin chōe,,723,
chin chōe,眞多,,832,
chin chōe,真多,,832,
chin lí,chin-lí,,700,
chin lí,眞理,,809,
chin lí,真理,,809,
chin sim,chin-sim,,713,
chin sim,眞心,,822,
chin sim,真心,,822,
chin ài,chin ài,眞愛唱歌,700,
chin ài,chin-ài,眞情眞愛,700,
chin ài,眞愛,,809,
chin ài,真愛,,809,
chio,chio,,731,
chio,招,,896,
chio,椒,,84,
chio,蕉,,68,
chioh,chioh,,731,
chioh,借,,876,
chioh im jī,chioh im jī,,700,
chioh im jī,借音字,,809,
chioh kháu,chioh-kháu,,713,
chioh kháu,借口,,622,
chioh kè,chioh kè,,713,
chioh kè,借過,,822,
chioh kè chi̍t ē,chioh kè ·chi̍t ·ē,,713,
chioh kè chi̍t ē,借過一下,,822,
chioh kè le,chioh kè ·le,,713,
chioh kè le,借過レ,,821,
chioh kè le,借過咧,,820,
chioh kè le,借過礼,,822,
chioh kè leh,chioh kè leh,,700,
chioh kè leh,chioh kè ·le,,700,
chioh kè leh,借過レ,,808,
chioh kè leh,借過咧,,807,
chioh kè leh,借過礼,,809,
chioh kòe,chioh kòe,,713,
chioh kòe,借過,,822,
chioh kòe chi̍t ē,chioh kòe ·chi̍t ·ē,,713,
chioh kòe chi̍t ē,借過一下,,822,
chioh kòe le,chioh kòe ·le,,713,
chioh kòe le,借過レ,,821,
chioh kòe le,借過咧,,820,
chioh kòe le,借過礼,,822,
chioh kòe leh,chioh kòe leh,,700,
chioh kòe leh,chioh kòe ·le,,700,
chioh kòe leh,借過レ,,808,
chioh kòe leh,借過咧,,807,
chioh kòe leh,借過礼,,809,
chioh mn̄g,chioh mn̄g,,727,
chioh mn̄g,借問,,836,
chiok,Chiok,,700,
chiok,chiok,,737,
chiok,烛,,84,
chiok,燭,,493,
chiok,祝,,815,
chiok,足,,927,
chiok hok,chiok-hok,,700,
chiok hok,祝福,,809,
chiong,Chiong,,713,
chiong,chiong,,738,
chiong,將,,888,
chiong,樟,,67,
chiong,漳,,75,
chiong,章,,815,
chiong,終,,489,
chiong,鍾,,868,
chiong,鐘,,479,
chiong,障,,277,
chiong chiu,Chiang-chiu,,700,
chiong chiu,漳州,,809,
chiong hòa,Chiong-hòa,,713,
chiong hòa,彰化,,822,
chiong kun,Chiong-kun,,713,
chiong kun,chiong-kun,,713,
chiong kun,將軍,,822,
chiong lâi,chiong-lâi,,713,
chiong lâi,將來,,822,
chio̍h,Chio̍h,,700,
chio̍h,chio̍h,,700,
chio̍h,石,,855,
chio̍h chhoan,Chio̍h-chhoan,,700,
chio̍h chhoan,石川,,809,
chio̍h chéⁿ,Chio̍h-chéⁿ,,700,
chio̍h chéⁿ,石井,,809,
chio̍h chíⁿ,Chio̍h-chéⁿ,,700,
chio̍h chíⁿ,石井,,809,
chio̍h he,chio̍h-he,,700,
chio̍h he,石灰,,809,
chio̍h hoe,chio̍h-hoe,,713,
chio̍h hoe,石灰,,822,
chio̍h lang,Chio̍h-lang,,700,
chio̍h lang,石硦,,609,
chio̍h lâng,Chio̍h-lâng,,700,
chio̍h lâng,石人,,809,
chio̍h siōng,chio̍h-siōng,,713,
chio̍h siōng,石像,,822,
chio̍h siōng,石象,,821,
chio̍h thâu,chio̍h-thâu,,729,
chio̍h thâu,石頭,,838,
chio̍h tēng,Chio̍h-tēng,,700,
chio̍h tēng,石碇,,809,
chio̍h tēng á,Chio̍h-tēng-á,,713,
chio̍h tēng á,石碇仔,,822,
chio̍h á,chio̍h-á,,700,
chio̍h á,石仔,,809,
chio̍k,chio̍k,,0,
chio̍͘h,chio̍͘h,,0,
chio͘,chio͘,,0,
chio͘h,chio͘h,,0,
chip,chip,,700,
chip,執,,675,
chip,汁,,68,
chip,趇,,618,
chit,-·tit,,700,
chit,chit,,749,
chit,只,,721,
chit,得,,820,
chit,此,,720,
chit chām,chit chām,,713,
chit chām,只斬,,621,
chit chām,只鏨,,622,
chit chām,此斬,,620,
chit chām,此鏨,,621,
chit chām á,chit chām-á,,727,
chit chām á,chit-chām-á,,713,
chit chām á,只斬仔,,635,
chit chām á,只鏨仔,,636,
chit chām á,此斬仔,,634,
chit chām á,此鏨仔,,635,
chit chūn,chit chūn,,700,
chit chūn,只存,,607,
chit chūn,只拵,,609,
chit chūn,此存,,606,
chit chūn,此拵,,608,
chit gî,chit-gî,,700,
chit gî,質疑,,809,
