input,freq,chhan_id
ah,2586,31
but but,10,6153
chhia chhia,10,1216
chhih chhih,10,1417
chhèng chhèng,1,9497
chi,1,1180
chiam,22,1821
chiat,1,10012
chiaⁿ,2,1825
chiu,12,2892
chiuh chiuh,1,8603
chiⁿ,2,3638
chôaⁿ,1,8981
giâ giâ,10,9339
gìm gìm,1,8993
ham,7,267
hia̍h,1,747
ho ho,1,5592
hut hut,1,3611
hòa,1,6100
hē,13,1991
iô,11,3112
iú,1,6213
iāⁿ iāⁿ,1,1680
ka,17,296
khah,3393,76
khak,2,139
khiàu khiàu,2,1476
khok khok,1,1477
khong khong,11,8402
kho̍k kho̍k,2,1477
ki ki,11,3137
kiak kiak,1,3624
kia̍k kia̍k,1,3624
kiān,1,2970
koaiⁿ,110,4740
koáiⁿ,10,5503
koán,152,4435
ko͘,12,1011
kuiⁿ,55,4740
kà kà,1,2161
kê kê,1,9023
kì kì,1,1475
kòng kòng,2,3224
kôe kôe,1,9023
kô͘ kô͘,10,1483
kúiⁿ,5,5503
kīm,1,4099
kū,181,1382
lang lang,1,8223
leh leh,10,8831
le̍h le̍h,1,8831
liu liu,10,6275
liàn liàn,1,2431
liáu liáu,11,490
liâu,11,1757
liù liù,11,6280
lok lok,1,2461
long long,1,2407
lu lu,1,8589
lêng,21,1264
lìn lìn,1,2431
lòng lòng,1,2407
lōa,645,575
mà mà,1,2478
pa,2,3904
phiáⁿ,2,9504
phiâⁿ,6,854
pho pho,1,4988
phut phut,1,2254
phà phà,1,5637
phàⁿ phàⁿ,1,5637
phóng phóng,10,2571
piàng piàng,10,1484
pâi,210,3547
pé,3,955
sai,112,450
sai sai,1,1495
sak,11,953
siak siak,10,3440
sian,33,1718
sia̍k sia̍k,6,3440
sih sih,10,1496
sio̍h,1,9343
siâu,110,1191
siāng,555,130
siōng,1107,130
sàng,415,452
sì lâng,2,647
sìm sìm,1,9334
sîn,12,2680
sòaⁿ,112,977
sú,2,3203
tang tang,11,3157
te,1,2516
teh teh,10,8823
tek,2,1482
teng,3,1163
te̍h te̍h,1,8823
te̍k,1,1482
thi thi,1,4225
thàng thàng,1,2804
thàu thàu,100,5662
tin tang,2,9092
tin tong,2,17219
tiong,101,545
tiuh tiuh,10,8911
tiâu tiâu,10,13544
tiāu,21,2219
tong tong,2,18495
tuh tuh,1,2911
a,19,31
á,468,1
á kiáⁿ,10,4558
î,11,3010
a kiat á,2,3683
a píⁿ á,17,3682
a bí,1,589
a bí cho̍k,1,4577
a chiu,10,590
a kong tiàm,1,9112
a kâu,1,1502
a la pek,1,19231
a lap pek,1,9234
a lat pek,10,9234
a la̍h pek,10,9235
a lian,10,1504
a lí káng,1,3791
a lí san,10,4376
a mi,1,1499
a mí tô hu̍t,1,4186
a mí tô͘ hu̍t,5,4186
a mî,1,1499
a píⁿ ah,6,3682
a píⁿ a,1,3682
a pō͘,1,5111
a tok á,1,4092
a tà bū,1,1506
ai,12,4078
ai tiân,1,9383
ai tiân hn̂g,1,17383
an khe,1,11720
an khoe,1,11720
an lâm,2,3776
an pêng,10,1480
an pōe,1,9911
an sūn,1,3775
an tîn,1,5149
an tēng,20,3831
ang,101,607
ang kong,11,616
au,11,604
au bí,1,6943
au chiu,10,6942
au iâng,1,3020
au iông,1,3020
au âng,1,1518
bang kok,1,6947
ba̍k sa,11,6149
be̍h liâu,10,5341
be̍k se ko,1,6844
bi long,5,3329
bi lóng,1,3329
bián tiān,10,5964
biâu le̍k,10,4282
biān tiān,1,5964
boán chiu,2,3778
boán chiu kok,1,24876
bo̍k chheⁿ,1,8103
bo̍k chhoan,1,5104
bo̍k hā,1,5175
bo̍k san ò á,1,8813
bu lo̍k,1,2460
bu lun,1,3696
báng kah,10,1562
báng sut,1,3235
báu,2,3848
báu ò,1,3190
bân bân,10,3034
bân kok,1,10547
bân lâm,1,4064
bân lâm gí,1,14064
bân lâm gú,1,14064
bé oaⁿ soaⁿ,10,14935
bé oaⁿ soaⁿ sū,1,14935
bêng kan,1,5047
bêng kó͘ ok,1,2953
bêng tī,1,19867
bí chiu,1,4003
bí kok,100,918
bí lē tó,10,4056
bí lūn,1,4332
bî chiu,1,15385
bî long,10,3329
bî lô,1,13804
bî lô káng,1,3805
bîn chiòng tóng,10,5523
bîn chìn tóng,100,5522
bîn chú tóng,10,5526
bîn hiông,10,4373
bîn kok,1,11114
bîn lân láu,1,5036
bîn sī,10,5686
bóng io,1,3560
bôe san,10,3950
bông chióng,1,6042
bông chéng,1,6042
bông kó͘,1,5042
bú,103,181
bú chhiang,1,23785
bú chhiong,1,23785
bú hàn,1,13785
bú lok,1,2460
bú lo̍k,1,2460
bú lūn,1,3696
bú tiân,1,3874
bû,1,3009
bûn,11,191
bûn hêng sèng tè,1,12721
bûn lâi,1,2710
bûn san,1,6152
bûn su,1,4821
bā hio̍h soaⁿ,1,15448
bān,293,86
bān êng hôa,1,21455
bān bân,1,3034
bān le̍k,1,3742
bān tan,10,3099
bāng oaⁿ,1,3252
bēng,1,3209
bīn chheh,1,6828
bū hong,1,11506
chai tîn,1,5107
chan,2,2973
chan bûn khe,1,3951
chan bûn khoe,1,3951
chau,1,3391
cha̍p jī pô chiá,1,5466
cha̍p tiâu kài,1,15010
cheng tiân,1,5156
chheng bo̍k,1,5123
chheng bêng,10,5510
chheng chúi,11,1057
chheng kok,1,6714
chheng sim,1,14708
chheng som,1,14708
chheng tó,1,12976
chheⁿ khun sin,1,13841
chheⁿ miâ,5,5510
chheⁿ po͘,1,18752
chhia,765,212
chhia chan,1,3954
chhia lián tóng,10,5958
chhiah chúi,1,17273
chhiah khàm,1,8786
chhian chṳ̄ bûn,1,18010
chhian ia̍p,10,5166
chhian jī bûn,1,18010
chhian jū bûn,1,18010
chhian kim phó͘,10,16360
chhian lí gán,1,6410
chhian sòe,1,9165
chhim chùn,1,9374
chhim kheⁿ,11,6160
chhim kheⁿ á,1,12616
chhim khiⁿ,1,6160
chhim khiⁿ á,1,12616
chhiong sêng,1,883
chhit bí,1,13254
chhit chheⁿ soaⁿ,1,3755
chhit chheⁿ thâm,1,3138
chhit khun sin,1,13931
chhit kó͘,1,18835
chhit niû má,1,8793
chhit niû má seⁿ,11,13734
chhit tó͘,1,8897
chhiū nâ á,110,886
chhiⁿ miâ,5,5510
chhoan kiā,1,6020
chhoan siōng,1,5124
chhoan tiân,1,5158
chhong khiat,1,19457
chhun hun,1,6043
chhàu thâu á,2,19886
chháu soaⁿ,10,8805
chháu tùn,10,1245
chháu tūn,1,1245
chháu ê tun,1,1244
chháu ôe tun,1,1244
chhâ siâⁿ,1,710
chhân bé,2,11465
chhân bóe,2,11465
chhân liâu,1,3815
chhân tiong ng,10,714
chhân tiŏng,1,714
chhî,10,2975
chhî hōe tiong ha̍k,1,17115
chhòa,100,2880
chhó͘ kok,1,15861
chhī chhoan,1,5171
chi ná,10,1181
chiam ek hôa,1,2922
chiang choân,1,10657
chiang chiu,1,4019
chiang hòa,10,1850
chiat kang,1,8604
chiau hô,1,9289
chia̍h chúi kho,1,8025
chiok,560,238
chiong,611,239
chiong chiu,1,4019
chiong hòa,10,1850
chiong kun,20,3841
chio̍h,2,1530
chio̍h chhoan,1,5114
chio̍h chéⁿ,1,3062
chio̍h chíⁿ,1,3062
chio̍h chô,2,15499
chio̍h kng,1,17325
chio̍h kng á,1,3325
chio̍h ku khe,1,4844
chio̍h ku khoe,1,4844
chio̍h lang,1,2404
chio̍h lâng,1,613
chio̍h mn̂g,2,8618
chio̍h pâi,15,3759
chio̍h tiân,1,5140
chio̍h tēng,1,1848
chio̍h tēng á,10,4456
chiuⁿ,3,3327
chiuⁿ phó͘,1,1623
chiàu an,1,6116
chiáu chhêng,21,3807
chiáⁿ chúi káng,1,3182
chiân kim,2,9524
chiân tiân,1,5120
chiú chéⁿ,1,3403
chiúⁿ,11,2334
chiā,10,1624
chi̍p chi̍p,1,10916
chng,122,244
chong chú,1,13623
choân chiu,10,1870
cho͘,111,1864
chu,20,2897
chu kat,1,6356
chè lâm,1,3511
ché lâm,1,3511
chéng á,2,5222
chéⁿ siōng,1,5106
chê tîn,1,5103
chìn kang,1,5017
chíⁿ siōng,1,5106
chîm kóng chhùi,1,8717
chîm kóng ò,1,8716
chîn sí hông,1,5261
chîⁿ,1042,236
chò chò bo̍k,1,5099
chò iá,1,5167
chò tîn,1,9053
chó chó bo̍k,1,5099
chó iá,1,5167
chó iâⁿ,1,8693
chó tiū tiân,1,5722
chó tìn,1,3828
chó tîn,1,9053
chô,11,2987
chô cho̍k,1,8807
chôaⁿ chiu,1,1870
chù seⁿ niû niû,10,12533
chú,133,3550
chú koaⁿ,1,3806
chúi bé,10,529
chúi bóe,20,529
chúi chheⁿ,1,8097
chúi léng kha,1,9003
chúi lí,1,3763
chúi lí kheⁿ,1,3764
chúi lí khiⁿ,1,3764
chúi phiô ùn á,1,8581
chúi siōng,10,4076
chúi téng kha,1,9003
chúi tńg kha,10,9003
chēng kong,1,13739
ek cháiⁿ kim siâⁿ,1,6080
eng bûn,1,6991
eng chéⁿ,1,5165
eng chíⁿ,1,5165
eng gí,100,4794
eng gú,1,4794
eng ko,2,3332
eng kok,10,6383
e̍k keng,2,3127
gio̍k chéⁿ,10,3840
gio̍k hông tāi tè,10,5284
gio̍k san,10,7185
giâm,12,3852
giâm lô,1,3855
giâm lô ông,10,13856
giâm siú,1,6838
giâm ông,1,3854
gióng kong,9,6216
giû tin,1,3989
goân,1,5146
goân chiáng,1,4138
goân chióng,1,4138
goân chū bîn,11,4693
goân siau,1,8286
goân tiân,1,5134
gâm kiā,1,3416
gâm kî,1,3416
gâm siú,1,6838
gân,10,1907
gân tì,1,805
gê,2,1908
gín ná sian,2,8023
gín á sian,2,8023
gî,1,3850
gî lân,10,6582
gîn chō,1,9303
gîn chō thong,1,14303
gô bî,1,9743
gô kok,1,16786
gô lô,1,5485
gôe,1,3940
gô͘,100,2891
gô͘ chhe,10,1920
gô͘ kok,1,16861
gû,259,1779
gû khùn soaⁿ,1,9978
gû po͘,1,3743
gû po͘ á,1,13743
gû taⁿ oan,1,3448
gû taⁿ oân,1,3448
gû tin,1,3989
gûn chō,1,9303
gûn chō thong,1,14303
gī tek,10,6598
gōa séng,11,8486
gōa séng lâng,100,14949
gōa séng ê,10,14949
gōa séng á,1,14949
gō͘ chhe káng,1,1921
gō͘ chàn lâu á,1,9052
gō͘ ge̍h choeh,1,5751
gō͘ goe̍h cheh,1,5751
gō͘ ji̍t cheh,1,5750
gō͘ ji̍t choeh,1,5750
gō͘ khun sin,1,13891
gō͘ kó͘,1,12545
gūi,1,3011
ha la piat,1,6165
ha̍k kah,1,3843
hek hái,1,13415
heng hòa,1,5781
hi lia̍p,1,5875
hi lī nî,1,5799
hi pek lâi,1,13527
hiang káng,10,4820
hin hòa,1,5781
hiong káng,100,4820
hiong san,1,4486
hiō tîn,1,5117
hoa,11,2040
hoa gí,1,4695
hoa gú,1,4695
hoa lian,100,802
hoa liân,10,802
hoa liân káng,1,801
hoa sī,1,15422
hoan lō͘,1,11589
hoat kok,10,6994
hoe lian,1,802
hoe liân,1,802
hoe liân káng,1,801
hoe tôaⁿ,10,6118
hok,2,4756
hok chhiaⁿ,1,13691
hok chiu,1,6951
hok heng,1,3049
hok kiàn,10,5776
hok tek chèng sîn,10,5285
hok tiân,1,5128
hong goân,10,7523
hong káng,1,3237
hong oán,1,6147
hoâiⁿ kho á,1,18025
hoâiⁿ pin,1,1209
hoâiⁿ san,1,6084
hoân lê hoa,1,19869
hoân thé,1,15274
hoān,11,2041
ho̍h ló,10,1308
ho̍h ló lâng,10,7719
ho̍h ló ōe,10,7718
hui chiu,10,3998
hui chiu á,2,14002
hui li̍p pin,10,1091
hui li̍t pin,1,1091
hui lu̍t pin,1,1091
hun hn̂g,1,5398
hu̍t chó͘,1,7777
hu̍t kok,1,17671
hu̍t kàu,5,7965
hu̍t lân se,1,7992
hàn lô,1,10106
hàn bûn,1,4936
hàn ha̍k,1,12877
hàn i,1,24935
hàn im,1,11197
hàn io̍h,10,4935
hàn iâng,1,23781
hàn iông,1,23781
hàn jîn,1,4773
hàn jī,15,4652
hàn kháu,1,24781
hàn o̍h á,1,18328
hàn siâⁿ,1,14793
há má seng,1,3610
hái hong,2,7318
hái kháu,12,7526
hái lâm,1,6971
hái po͘,11,8602
hái têng,1,13727
hân,10,2986
hân gí,1,6863
hân gú,1,6863
hân kok,100,5627
hân kok gí,1,6863
hân kok gú,1,6863
hâng chiu,1,4018
hâu,1,3021
hé chheⁿ,1,8096
hé sio tó,1,6732
hêng chhun,10,1994
hêng hú chhian sòe,10,12550
hêng hú ông iâ,10,4550
hì sai kah,1,9131
hí bōng hong,1,14415
hí chhiū á,1,9346
hî kong tó,1,3193
hîm,11,2021
hîm iá,1,17590
hîm pún,1,15492
hòng chng,1,3050
hóe chheⁿ,1,8096
hóe sio tó,10,6732
hó͘ bé,1,5320
hó͘ bóe,1,5320
hô,10,2978
hô bí,1,12460
hô iá,1,4391
hô lân,10,1798
hô lân se,1,7992
hô lân se chúi,1,7991
hô lāi,1,17421
hô tiân,1,5142
hô chhù,1,6516
hôa,1,13938
hôa bûn,1,6946
hôa gí,10,4695
hôa gú,5,4695
hôa jîn,10,2805
hôa kiâu,1,16850
hôa sī,2,15422
hông hô,1,3413
hông kah,1,18471
hông khe,1,8903
hông khoe,1,8903
hù kùi kak,1,15918
hú san,1,4381
hú siâⁿ,11,15361
hûi kho á,1,18025
hûn lîm,10,7110
hā,1,3942
hā goân,1,11285
hā lā piat,1,6165
hān khe,1,4349
hān khoe,1,4349
hē chì,1,6161
hō ló,10,1308
hō ló lâng,10,7719
hō ló ōe,10,7718
hōng soaⁿ,10,3803
hō͘ bé,1,2029
hō͘ bóe,1,2029
hō͘ tîn,1,5117
hūi oaⁿ,1,11726
i tîn,1,3376
ia so͘,1,3653
iah chhun,1,7917
ia̍h keng,1,3127
ia̍p,10,677
iok hān,1,17754
iok jíⁿ,1,15710
iok ní,1,15710
it khun sin,1,13831
iông ī,2,6603
iàn châu,1,2690
iá chhoan,1,5173
iá kháu,1,5164
iá khó͘,1,5164
iá liú,1,8596
iâ hô hoa,1,2806
iâ so͘,10,3653
iâm po͘,1,3788
iâm tiâⁿ,2,6237
iâm tiâⁿ po͘,10,8992
iâu,1,3031
iông chú kang,1,3118
iû,103,37
iû thài,1,7107
iû thài lâng,10,8273
iûⁿ,147,693
iûⁿ mûi,2,3737
iûⁿ mûi le̍k,1,12420
iū chhiong,1,8692
jiáu a,1,4578
jiáu oa,1,4578
jiû hu̍t,1,17353
ji̍h káu mê,1,5533
ji̍t bûn,1,6989
ji̍t goa̍t thâm,1,4525
ji̍t gí,100,6382
ji̍t gú,10,6382
ji̍t ko,1,5179
ji̍t pún,383,4660
ji̍t pún lâng,10,14660
ji̍t pún ōe,10,18382
ji̍t pún gí,1,6382
ji̍t pún gú,1,6382
jî,2,2132
jî gio̍k,1,6075
jîm,11,2124
jîn bú,1,3809
jîn chhoan,1,13651
jîn tek,1,3825
jû,11,2132
jû ka,1,10187
jī chhit pō͘ tūi,10,12727
jī chàn hâng,1,3380
jī chàn hâng khe,1,4493
jī chàn hâng khoe,1,4493
jī chúi,1,15047
jī jī pat,10,7228
jī khun sin,1,13851
jī káu mê,10,5533
jī lîm,10,8923
jī lūn,1,13116
jī pat chúi,1,9275
jī ông,1,4855
ka chiu,1,6911
ka cháu,2,3240
ka gī,100,4074
ka la̍h po͘,1,1555
ka lia̍p ta̍t,1,19422
ka lia̍p thài,1,9429
ka lia̍p thài su,1,29429
ka lí,11,2166
ka lí hin,1,3244
ka ná tah,1,8322
ka ná tāi,1,8322
ka pòa sóa,1,3912
ka pòa sū,1,3911
ka pû lóng,1,4902
ka tang,11,2164
ka tang kha,1,2165
ka tiaⁿ á,10,789
ka tiāⁿ á,1,789
ka tîn,1,5096
kah sian,1,18821
kai,2,299
kam á koāiⁿ,1,10537
kam á koān,1,10537
kan tāu,1,10616
kan tāu mn̂g,1,8616
kan tī sū,1,15198
kang,496,307
kang soaⁿ,1,3917
kang soaⁿ á,1,3916
kang tîn,1,3897
kat,11,2189
ke bo̍k lông,1,5361
ke lang,1,1370
ke lâng,10,1370
ke lâng hô,1,13370
ke lâng khi̍t,1,4068
keh,5,2887
keng chiu,1,6428
keng te̍k,1,5333
keⁿ ti̍t,1,5333
kha ná tah,1,8322
khe chiu,11,1733
khe kháu,1,14372
kheh,13,1126
kheh chng,1,6384
kheh gí,100,4876
kheh gú,10,4876
kheh lâng,100,4441
kheh ōe,10,4874
khiong,1,3946
khng,1,3680
khoe chiu,6,1733
khoe kháu,1,14372
khong á liâu,1,859
khu,12,2300
khun san,1,13732
khàm téng,2,3241
khóng,11,2296
khóng chú,1,23894
khó͘,184,2881
không á liâu,1,859
ki,559,328
ki chìn tóng,100,5524
ki lí gān,1,12572
ki tok,1,4654
ki tok kàu,100,7962
kiang,1,3946
kiat tiân,1,5097
kiat tâ,1,13809
kia̍t hî kheⁿ,10,18772
kia̍t hî khiⁿ,1,18772
kiaⁿ to͘,11,4401
kim,152,335
kim chheⁿ,1,8102
kim chéⁿ,1,5154
kim chíⁿ,1,5154
kim chú,1,5126
kim mn̂g,10,6952
kim pau lí,1,7602
kim san,10,8605
kiong kiā,1,3725
kiong pún,1,5152
kiong siâⁿ,1,5039
kip chúi khe,1,4495
kip chúi khoe,1,4495
kiàm kiô,1,8435
kiàm thâm,1,11845
kiâm chúi,11,1028
kiâm chúi káng,1,3851
kiâu pún,1,5113
kióng,1,3928
kiô á thâu,10,3811
kiú khiok tông,10,9437
kiú liông,1,12920
kiú pó tiân,1,3876
kiōng hô tóng,1,5527
kiōng sán tóng,10,5528
kiⁿ ti̍t,1,5333
ko,101,2979
ko biân,1,2711
ko bo̍k,1,5147
ko chhiū,1,3789
ko chhiū kha,1,3790
ko hiông,10,3227
ko kiâu,1,5095
ko lê,1,1796
ko pîn khe,1,4496
ko pîn khoe,1,4496
ko sa,1,6029
ko tiân,1,5157
ko toan,1,16031
koa,192,2856
koan,2,3929
koan biō,10,5589
koan im,10,8141
koan im má,1,18141
koan im soaⁿ,1,10936
koan sai,1,4352
koan se,2,4351
koan tang,10,4353
koan tong,1,4353
koan tè biō,1,3832
koan á niá,1,9187
koaⁿ tiān,10,3867
koe lâng,5,1370
koe lâng hô,1,13370
koe lâng khi̍t,1,4068
koeh,11,2887
koh oa̍h cheh,1,5559
koh oa̍h choeh,1,5559
kok bîn tóng,100,5529
kok gí,2,4915
kok gú,2,4915
kok kháu,1,5168
kok sèng,1,10717
kok ú,1,8592
kong chiu,1,15875
kong koán,20,6733
kong pún,1,5133
kong san,10,3526
kong sī,10,5685
kong tiân,1,5118
ku,12,1195
ku á lut,1,9468
kui jîn,1,3827
kî tha,2,3343
kán,11,2171
kán po͘ chē,1,3773
kán thé,1,15843
káng ò,1,16825
káng á chhùi,1,8672
káu tè chhù,1,3787
kéng,13,933
kéng bé,10,580
kéng bí,1,580
kéng bóe,5,580
kí,11,3027
kî lí gān,1,12572
kî san,1,3818
kî tin,1,15367
kî āu,1,3794
kòng liâu,1,5601
kò͘,232,576
kóng tó,1,8742
kó͘ kheⁿ,1,8827
kó͘ lōng sū,10,4297
kīn tîn,1,5119
kńg chiu,1,4823
kńg sai,1,6096
kńg tang,10,4824
kū kim soaⁿ,2,10415
kūn tîn,1,5119
la gû pán,1,5243
la teng,1,2964
lak lak,1,8171
lap á té,1,8164
lap á tóe,1,8164
la̍k kah,1,3869
la̍k kha,1,14073
la̍k kha tiān,1,4073
la̍k khun sin,1,13921
la̍k ku,1,10323
la̍k ku lí,1,2355
la̍k tiuⁿ lê,5,12392
la̍k tiuⁿ lôe,1,12392
la̍p báu,1,14813
le̍k,1,4929
le̍k chhoan,1,7422
le̍k tóng,10,5525
liap,1,3933
lia̍p teng,1,2964
lia̍t sū,1,4644
lio̍k,1,3026
liâm,11,1755
liân,338,371
liâu tang,1,16534
liông chéⁿ,10,12047
liông chíⁿ,10,12047
liông khe,1,18952
liông kiā,1,3834
liông san sī,1,14207
liông thâm,1,12614
liú iâⁿ,1,3884
liû khiû,10,2438
liû kiû,1,2438
liāu,10,2901
liāu thiam teng,1,6499
li̍p chhun,1,5331
li̍p hā,1,4292
li̍p hē,1,4292
loán,1,826
loán loán,10,7612
lo̍h,736,6
lo̍k chháu,1,14054
lo̍k iâng,1,14753
lo̍k iông,1,14753
lo̍k káng,10,3863
lo̍k ní mn̂g,1,681
lo̍k san ki,1,9213
lo̍k á chháu,2,4054
làm á,2,2378
lán lâng,11,4907
lán nâng,1,9231
láu long,1,7736
lâi oân,1,13478
lâm bí,1,6941
lâm bí chiu,10,6941
lâm chiu,1,3784
lâm chēng,1,13041
lâm hong ò á,1,4388
lâm hòa,1,3829
lâm iûⁿ,1,2960
lâm ke̍k,1,16740
lâm khun sin,1,13821
lâm khàm,1,8725
lâm kiaⁿ,1,6841
lâm koán,1,9094
lâm káng,1,2859
lâm oaⁿ,1,5018
lâm pō͘,15,7255
lâm se,1,3868
lâm tâu,10,8543
lâm tūn,1,1242
lâm á kheⁿ,10,2135
lâm ò,1,13050
lâm ò á,1,13088
lâu,722,2387
lê,2,3079
lêng bo̍k,1,5094
lêng ngá liâu,1,3217
lêng nâ,1,1906
lêng pho,1,12129
lêng á liâu,2,3217
lí,13745,44
lí kang khioh,1,3407
lí káng,1,13791
lí sūn,1,16159
lîm,181,375
lîm hn̂g,1,2453
lîm hōng iâⁿ,1,8702
lîm kí po͘,1,4526
lîn lo̍k,1,3038
lô,13,2441
lô chhia,1,3654
lô chúi khe,10,3891
lô chúi khoe,5,3891
lô má,1,5308
lô má jī,10,4662
lô tong,10,3234
lông kiau,1,3668
lông le̍k,1,7009
lô͘,1,3016
lô͘ chiu,1,4476
lô͘ tek,11,8769
lú sūn,1,16159
lûi,12,2888
lûi kong,11,5370
lāi le̍k,1,12180
lāi mn̂g,1,3817
lāi po͘,10,3255
lāi tē,2,8277
lāi tōe,2,8277
lāi ô͘,1,8806
lāi ûi,1,8619
lē kèng kì,1,5720
lī,251,2882
lōa lâm,1,3921
lōa lâm ke,10,18921
lōa lâm koe,1,18921
lōe tiân,1,5144
lōe tē,2,8277
lō͘ chiu,1,4476
lō͘ se a,10,4982
lō͘ tek,10,13816
lū,2,2882
lū sòng,1,2402
lūn pòe,1,3124
ma ni lah,1,3699
ma ní lah,1,3699
miâu le̍k,1,4282
moâi san,1,3950
má,11,2890
má chó͘,101,1956
má chó͘ keng,1,8464
má kai,1,7224
má keng,10,2476
má káu,1,4998
má lâi,1,11750
má lâi a,1,11920
má lâi se a,1,8474
mái,1,3532
môa pho,1,8325
môa tāu,10,3877
môe,101,1952
môe san,10,3950
mûi,1,3736
mûi san,5,3950
na niu á,1,3333
na niû á,1,3333
ngó͘,1,8336
ngó͘ chí soaⁿ,1,6301
ngó͘ kok ông,1,6527
ngô͘,50,2891
ngô͘ bî,1,9743
ngô͘ kok,2,16786
ngô͘ lô,1,5485
ngāi,1,3205
ngāu san oân,1,16228
niau phīⁿ thâu,1,9530
niú iok,1,1826
niû,11,2981
ná ui,1,7859
nâ,2,2487
nâ kháu,1,9117
nâ lāi,1,8453
nâ niû á,1,3333
nâ á piⁿ,10,2452
n̂g,111,829
o mí tô hu̍t,10,4186
oan lí,1,9373
oat á,2,2520
oa̍t kok,1,15851
oa̍t lâm,100,5628
oa̍t lâm lâng,10,15628
oa̍t lâm gí,10,6385
oa̍t lâm gú,1,6385
oaⁿ hái,1,4906
ong,2,3017
oán,5,826
oán lí,1,9372
oán tîn,1,5122
oân,2,1771
oân lí,1,9373
oân lîm,10,8548
oân san,1,5155
oân lin,1,9375
o͘ chiat,1,19209
o͘ chúi kau,1,4291
o͘ hái,1,17415
o͘ liông,2,9630
o͘ liông tê,10,12743
o͘ lâng,11,9006
o͘ mí tô͘ hu̍t,10,4186
o͘ mí tō͘ hu̍t,1,4186
o͘ siông,1,5186
pa khek lé,1,6553
pa la koah,5,3463
pa lá koah,10,3463
pa lí,1,9764
pa se,10,5963
pa sū hái kiap,1,10798
pai oan,1,4296
pak au,10,7863
pak bí,1,6940
pak bí chiu,10,6940
pak sòaⁿ bé,1,13482
pak sòaⁿ bóe,1,13482
pak chhoan,1,6201
pak hái tō,10,8220
pak ke̍k,1,17740
pak kiaⁿ,10,6842
pak kiaⁿ ōe,10,19842
pak kiaⁿ gí,10,16842
pak kiaⁿ gú,5,16842
pak káng,10,8607
pak káng khe,10,15941
pak káng khoe,5,15941
pak mn̂g,10,13842
pak mn̂g sū,1,3842
pak pō͘,10,7257
pak tâu,11,8547
pak tūn,1,1243
pang kheⁿ á,1,11727
pang khiⁿ á,1,11727
pang kiô,10,2532
pang liâu,10,2535
pang pang gah,1,13005
pang soaⁿ,10,3781
pat kòa soaⁿ,10,8947
pat lí,1,6185
pat tiông san,1,5735
pat tâu,1,8547
pau chióng tê,1,19616
peh táu á,1,1581
peng,12,853
peng tó,1,18086
pe̍h,221,413
pe̍h hô,1,3885
pe̍h lâng,11,11524
pe̍h sek khióng pò͘,1,13071
pe̍h soa,1,3250
pe̍h ōe jī,261,4265
pe̍k,1,3204
pe̍k chhoan,1,8633
pe̍k ní gī,1,12502
phang ga si lan,1,10241
pho lân,1,12737
pho lô bûn,1,17678
pho lô chiu,1,5754
pho su,1,6070
phoaⁿ,10,2885
phoaⁿ bo̍k ki,1,3990
phoh chú,10,7104
phoh á kha,1,2751
phok,11,3037
phok to,1,4819
phoân kó͘,1,3443
phêⁿ,6,854
phêⁿ ô͘,10,1450
phîⁿ ô͘,1,1450
phó͘ tô san,1,15693
phô tô gâ,1,1941
phû tô gâ,1,1941
pi lâm,1,3184
pi lâm khe,1,16181
pi lâm khoe,1,16181
pin nn̂g sū,1,4620
pit,102,2596
piu má,1,3183
png,1,2904
po tiong,1,2860
poeh táu á,1,1581
poh,2,3070
pok chhoan,1,6201
po͘ iâm,11,3336
po͘ lí,10,7103
pu̍t chó͘,10,7777
pu̍t kàu,10,7965
pán chéⁿ,1,3688
pán pún,11,3686
pâi oan,1,4296
pâng,102,1019
pêng iá,1,5159
pêng jiáng,1,13760
pêng jióng,1,13760
pêⁿ nâ,1,2539
pêⁿ po͘,2,4200
pêⁿ po͘ cho̍k,10,4543
pêⁿ téng,1,6179
pí lī sî,1,14969
pîn tong,10,448
pîⁿ po͘ cho̍k,1,4543
pòaⁿ lō͘ tek,1,3816
pòaⁿ pêng soaⁿ,1,2098
pòaⁿ soaⁿ ê,1,6315
pòaⁿ soaⁿ á,1,6315
pò͘,11,611
pò͘ tē,15,4894
pò͘ tē chhùi,1,3923
pó seng tāi tè,10,9438
pó táu,1,3747
pôe,11,1295
pô͘ chhân,1,4071
pāu,1,9541
pūn káng,1,3926
sai hng,11,14532
sai kah,1,19279
sai kiaⁿ,1,6843
sai káng á,1,3836
sai lê,10,4506
sai mn̂g,1,451
sai sū,1,3251
sai thâm,1,8946
sai tūn,10,1241
sam chi,1,13770
sam chàn kiā,1,7336
sam chū keng,1,6840
sam chṳ̄ keng,1,6840
sam jī keng,5,6840
sam jū keng,10,6840
sam nâ,1,13820
sam phó͘,1,5130
sam po͘,1,5130
sam san,1,5153
sam san kok ông,10,6143
sam seng,2,8130
sam tiau kak,1,9156
san hā,1,5115
san kháu,1,5101
san kiā,1,5108
san pún,1,3039
san siōng,1,3857
san tiân,1,5098
saⁿ kak éng,1,1139
saⁿ khun sin,1,13861
saⁿ tiuⁿ lê,1,12392
saⁿ tiuⁿ lôe,1,12392
saⁿ têng po͘,10,4477
saⁿ ông,1,4854
se au,1,7862
se chhoan,1,5129
se chōng,1,4129
se hong,1,9260
se iûⁿ,10,7976
se kòng,1,2810
se mn̂g,1,451
