input,output,annotation,weight,category
gín ná phōaⁿ,gín-á-phōaⁿ,,999,
gín ná phōaⁿ,囝仔伴,,999,
gín á,gín-á,,999,
gín á,囝仔,,999,
gín á phōaⁿ,gín-á phōaⁿ,,999,
gín á phōaⁿ,gín-á-phōaⁿ,,999,
gín á phōaⁿ,囝仔伴,,999,
gî,枇,(pî),999,
gî pê,gî-pê,,999,
gî pê,枇杷,,999,
gî pê,琵琶,,999,
góa,góa,,999,
góa,我,,999,
gô,峨,,999,
gún,gún,,999,
gún,阮,,999,
hit,hit,,999,
hit,喜,,999,
hit,彼,,999,
hit,許,,999,
hit sî,hit sî,,999,
hit sî,喜時,,999,
hit sî,彼時,,999,
hit sî,許時,,999,
hit ê,hit ê,,999,
hit ê,喜个,,999,
hit ê,彼个,,999,
hit ê,許个,,999,
hoaⁿ hí,hoaⁿ-hí,,999,
hoaⁿ hí,歡喜,,999,
ho͘,ho͘,,999,
ho͘,乎,,999,
hâi,鞋,,999,
hó,hó,,999,
hó,好,,999,
hó ka chài,hó ka-chài,,999,
hó ka chài,好加再,,999,
hó kai chài,hó kai-chài,,999,
hó kai chài,好皆再,,999,
hó lâng,hó lâng,,999,
hó lâng,好人,,999,
hó thiⁿ,hó thiⁿ,,999,
hó thiⁿ,好天,,999,
hó͘ bé,Hó͘-bé,,999,
hó͘ bé,虎尾,,999,
hó͘ bóe,Hó͘-bóe,,999,
hó͘ bóe,虎尾,,999,
hó͘ lān,hó͘-lān,,999,
hó͘ lān,虎玍,,999,
hù kì,hù-kì,,999,
hù kì,付記,,999,
hēng hok,hēng-hok,,999,
hēng hok,幸福,,999,
hō͘,hō͘,,999,
hō͘,乎,,999,
hū kì,hū-kì,,999,
hū kì,附記,,999,
i,i,,999,
i,伊,,999,
iah,iá,,999,
iah,亜,,999,
iah,亞,,999,
iah,夭,,999,
iah,野,,999,
iah nā,iá nā,,999,
iah nā,夭若,,999,
iah nā,夭那,,999,
iah sī,iá sī,,999,
ian,鄢,,999,
iang kah,iang-kah,,999,
iang kah,央甲,,999,
iap,饁,,999,
ia̍h,iā,,999,
ia̍h,也,,999,
ia̍h sī,iā sī,,999,
ia̍h sī,也是,,999,
in,in,,999,
in,因,,999,
in hô,in-hô,,999,
in hô,因何,,999,
in ūi,in-ūi,,999,
in ūi,因爲,,999,
iong kah,iong-kah,,999,
iong kah,央甲,,999,
iá,iá,,999,
iá,iáu,,999,
iá,亜,,999,
iá,亞,,999,
iá,夭,,999,
iá,野,,999,
iá bô,iá bô,,999,
iá bô,夭無,,999,
iá bē,iáu bē,,999,
iá bē,夭未,,999,
iá bōe,iáu bōe,,999,
iá bōe,夭未,,999,
iá kú,iáu-kú,,999,
iá kú,夭久,,999,
iá nā,iá nā,,999,
iá nā,夭若,,999,
iá nā,夭那,,999,
iá sī,iá sī,,999,
iáu,iáu,,999,
iáu,夭,,999,
iáu bē,iáu bē,,999,
iáu bē,夭未,,999,
iáu bōe,iáu bōe,,999,
iáu bōe,夭未,,999,
iáu kú,iáu-kú,,999,
iáu kú,夭久,,999,
iā,iā,,999,
iā,也,,999,
iā sī,iā sī,,999,
iā sī,也是,,999,
iōng,iōng,,999,
iōng,用,,999,
jek,jek,,999,
jek,趇,,999,
jek,趘,,999,
jek,逐,,999,
jiok,jiok,,999,
jiok,趇,,999,
jiok,趘,,999,
jiok,逐,,999,
ji̍p sim,ji̍p sim,,999,
ji̍p sim,入心,,999,
ji̍t,ji̍t,,999,
ji̍t,日,,999,
jím nāi,jím-nāi,,999,
jím nāi,忍耐,,999,
jîn bîn,jîn-bîn,,999,
jîn bîn,人民,,999,
jūn,閏,,999,
ka chài,ka-chài,,999,
ka chài,加再,,999,
kah,kah,,999,
kah,kap,,999,
kah,到,,999,
kah,甲,,999,
kah ná,kah ná,,999,
kah ná,kah-ná,,999,
kah ná,到那,,999,
kah ná,甲那,,999,
kah nā,kah nā,,999,
kah nā,甲若,,999,
kah nā,甲那,,999,
kai chài,kai-chài,,999,
kai chài,皆再,,999,
kam,kam,,999,
kam,甘,,999,
kam khai,kam khai,,999,
kam khai,甘開,,999,
kam sim,kam-sim,,999,
kam sim,甘心,,999,
kap,kap,,999,
kap,甲,,999,
keng,驚,,999,
keng te̍k,Keng-te̍k,,999,
keng te̍k,keng-te̍k,,999,
keng te̍k,驚蟄,,999,
keⁿ,驚,,999,
keⁿ ti̍t,Keⁿ-ti̍t,,999,
keⁿ ti̍t,keⁿ-ti̍t,,999,
keⁿ ti̍t,驚蟄,,999,
kha tó͘,kha-tó͘,,999,
kha tó͘,脚肚,,999,
khah,khah,,999,
khah,卡,,999,
khah,恰,,999,
khah chá,khah chá,,999,
khah chá,卡早,,999,
khah chá,恰早,,999,
khah thêng,khah thêng,,999,
khah thêng,卡停,,999,
khah thêng,恰停,,999,
khah thêng á,khah-thêng-á,,999,
khah thêng á,卡停仔,,999,
khah thêng á,恰停仔,,999,
khoàiⁿ,khòaⁿ kìⁿ,,999,
khoàiⁿ,看見,,999,
khoán,khoán,,999,
khoán,欵,～款,999,
khui hoe,khui hoe,,999,
khui hoe,開花,,999,
khài,暨,,999,
khàu iau,khàu iau,,999,
khàu iau,哭飫,,999,
khì,khì,,999,
khì,去,,999,
khì,氣,,999,
khí,khí,,999,
khí,起,,999,
khî pê,khî-pê,,999,
khòaⁿ,khòaⁿ,,999,
khòaⁿ,看,,999,
khòaⁿ kìⁿ,khòaⁿ kìⁿ,,999,
khòaⁿ kìⁿ,看見,,999,
khī,khī,,999,
khī,柿,,999,
ki hōe,ki-hōe,,999,
ki hōe,机會,,999,
ki hōe,機會,,999,
kiaⁿ,kiaⁿ,,999,
kiaⁿ,惊,,999,
kiaⁿ,驚,,999,
kià hù,kià-hù,,999,
kià hù,寄付,,999,
kià hù,寄附,,999,
kiám,kiám,,999,
kiâⁿ,kiâⁿ,,999,
kiâⁿ,行,,999,
kiò,kiò,,999,
kiò,叫,,999,
kiò,呌,,999,
kiò chò,kiò chò,,999,
kiò chò,叫做,,999,
kiò chò,呌做,,999,
kiò chòe,kiò chòe,,999,
kiò chòe,叫做,,999,
kiò chòe,呌做,,999,
kiⁿ ti̍t,Keⁿ-ti̍t,,999,
kiⁿ ti̍t,驚蟄,,999,
koh,koh,,999,
koh,閣,,999,
kok,閣,,999,
kong má,kong-má,,999,
kong má,公媽,,999,
koàn chhiâng,koàn-chhiâng,,999,
koàn chhiâng,灌腸,,999,
ku soaⁿ,Ku-soaⁿ,,999,
ku soaⁿ,亀山,,999,
ku soaⁿ,龜山,,999,
kà,kah,,999,
kà,到,,999,
kà,甲,,999,
kà nā,kah nā,,999,
kà nā,甲若,,999,
kà nā,甲那,,999,
kàn ná,簡那,,999,
kàu,kàu,,999,
kàu,到,,999,
